Relation,Subsection,RepresentativeMethodsResources
External,Prompt and compositional consistency,Attend-and-Excite; BoxDiff; Composer; Make-It-Count; CountDiffusion; TIFA; GenEval; T2I-CompBench; OmniGen2; T2I-ReasonBench; TIIF-Bench; SpatialReward
External,Grounded and structural consistency,ControlNet; GLIGEN; T2I-Adapter; IP-Adapter; AnyDoor; FreeDoM; HumanSD; SemanticControl; OminiControl2; Diffusion as Shader; MMFace-DiT
External,Edit consistency,Prompt-to-Prompt; DiffEdit; InstructPix2Pix; InstructDiffusion; Null-Text Inversion; MagicBrush; EditBench; FLUX.1 Kontext; Step1X-Edit; In-Context Edit; MLV-Edit; JoyAI-Video-Edit
Internal,Subject and identity consistency,DreamBooth; Custom Diffusion; BLIP-Diffusion; PhotoMaker; InstantID; ConsiStory; StoryDiffusion; DreamO; CogCanvas; ConsID-Gen; MV-S2V
Internal,Multi-view and 3D consistency,Zero-1-to-3; SyncDreamer; MVDream; Wonder3D; ViewDiff; EscherNet; MVG-Bench; MET3R; StreetDiff; HarmoView; MV-Forcing; Structural Energy Guidance
Internal,Temporal and narrative consistency,AnimateDiff; FateZero; Video-P2P; StoryDiffusion; TaleCrafter; MovieDreamer; VBench; ViStoryBench; ReCA; EntityBench; StoryMem; HoloCine; Self-Forcing++
Normative,Preference and aesthetics,ImageReward; HPS; MPS; SPO; DSPO; RankDPO; Diffusion-DPO; DiffusionNFT; DanceGRPO; DeDPO; D2PO; Qwen-Image-2.0-RL
Normative,Safety and values,Safe Latent Diffusion; Unified Concept Editing; Erasing Concepts; Six-CD; GRACE; Orthogonal Concept Erasure; TrajShield; SafeGen-Bench; S-GRACE
Normative,"Physical, commonsense, and causal consistency",PhyBench; VideoPhy; PhyGenBench; VideoPhy-2; T2VWorldBench; Physics-IQ; PhyWorldBench; VBench-2.0; Physion-Eval; PhyGround; PhyEditBench; MMPhysVideo
